TREEBANK	UPOS	UFEATS	LEMMAS	UAS	LAS	CLAS	MLAS	BLEX	SIZE
UD_Portuguese-PUD	90.14	51.16	99.79	87.02	80.17	74.10	17.51	74.10	0
UD_Romanian-Nonstandard	96.83	88.89	89.33	90.36	85.26	80.41	64.68	68.11	8000
UD_Romanian-RRT	97.73	96.12	95.84	93.16	88.56	84.87	79.20	79.92	8000
UD_Russian-GSD	96.91	87.45	77.73	90.71	86.03	84.51	67.24	62.08	3900
UD_Russian-PUD	93.06	63.60	77.93	93.51	87.14	83.96	37.25	61.86	0
UD_Russian-SynTagRus	98.97	96.29	94.47	94.83	93.13	91.87	86.91	85.44	48800
UD_Russian-Taiga	95.39	88.47	90.19	84.02	77.80	75.12	59.71	65.15	881
UD_Sanskrit-UFAL	37.33	17.63	37.38	40.21	18.56	15.38	0.85	4.12	0
UD_Serbian-SET	98.30	92.22	95.86	95.68	91.95	90.30	78.45	84.93	2900
UD_Slovak-SNK	97.46	89.30	93.80	95.92	93.87	92.86	77.33	85.12	8500
UD_Slovenian-SSJ	98.73	93.44	96.50	94.74	93.07	90.94	81.55	86.38	6500
UD_Slovenian-SST	95.40	89.81	95.15	80.37	75.03	71.19	61.32	67.24	2100
UD_Spanish-AnCora	98.53	97.89	98.07	92.99	90.50	87.26	83.43	84.85	14300
UD_Spanish-GSD	95.91	95.08	96.52	90.82	87.23	82.83	72.47	78.08	14200
UD_Spanish-PUD	88.98	54.58	100.00	90.45	83.08	77.42	18.06	77.42	0
UD_Swedish-LinES	96.85	87.24	92.70	88.77	85.49	85.61	66.99	77.62	2700
UD_Swedish-PUD	96.36	80.04	88.81	89.17	86.10	85.25	57.12	72.92	0
UD_Swedish_Sign_Language-SSLC	63.48	96.10	100.00	40.43	26.95	30.12	23.29	30.12	88
UD_Swedish-Talbanken	98.11	95.92	95.50	91.91	89.03	87.26	80.72	81.31	4300
UD_Tagalog-TRG	60.62	35.62	73.63	64.04	40.07	36.84	0.00	13.16	0
UD_Tamil-TTB	91.50	83.21	80.84	79.34	71.29	69.10	53.62	54.84	401
UD_Telugu-MTG	93.48	99.31	100.00	92.23	83.91	79.92	76.10	79.92	1100
UD_Thai-PUD	56.78	62.48	100.00	49.05	26.06	18.42	3.77	18.42	0
UD_Turkish-IMST	94.29	84.49	87.71	74.56	67.44	63.87	49.42	54.10	3700
UD_Turkish-PUD	77.34	24.59	84.31	67.68	46.07	39.95	2.61	32.50	0
UD_Ukrainian-IU	97.71	88.63	94.00	92.83	90.30	88.15	72.93	81.04	5300
UD_Upper_Sorbian-UFAL	84.87	48.84	72.68	71.55	62.82	56.04	16.19	37.89	24
UD_Urdu-UDTB	94.37	82.80	96.68	88.43	82.84	77.00	56.70	73.97	4000
UD_Uyghur-UDT	75.88	70.80	79.70	65.89	48.80	38.95	21.75	31.31	1700
UD_Vietnamese-VTB	91.29	99.58	99.21	74.11	66.00	63.34	58.71	62.61	1400
UD_Warlpiri-UFAL	33.44	18.15	39.17	21.66	7.96	7.49	0.00	0.88	0
UD_Yoruba-YTB	50.86	78.32	85.56	37.62	19.09	16.56	6.30	12.15	0
