TREEBANK	UPOS	UFEATS	LEMMAS	UAS	LAS	CLAS	MLAS	BLEX	SIZE
UD_Slovenian-SST	93.79	86.28	95.17	73.51	67.51	63.46	52.67	60.32	2100
UD_Spanish-AnCora	98.91	98.49	99.17	92.34	90.26	86.39	83.97	85.51	14300
UD_Spanish-GSD	96.85	97.09	98.97	90.71	88.03	82.85	75.98	81.47	14200
UD_Swedish-LinES	96.78	89.43	97.03	86.07	81.86	80.32	66.48	77.38	2700
UD_Swedish_Sign_Language-SSLC	68.09	100.00	100.00	50.35	37.94	39.51	30.96	39.51	88
UD_Swedish-Talbanken	97.94	96.86	98.01	89.63	86.61	84.45	79.67	82.26	4300
UD_Tamil-TTB	91.05	87.28	93.92	74.11	66.37	63.71	55.31	59.58	401
UD_Telugu-MTG	93.07	99.03	100.00	91.26	85.02	81.76	77.75	81.76	1100
UD_Turkish-IMST	96.01	92.55	96.01	74.19	67.56	63.83	56.96	61.37	3700
UD_Ukrainian-IU	97.59	92.66	97.23	88.29	85.25	81.90	73.81	79.10	5300
UD_Upper_Sorbian-UFAL	62.93	41.10	68.68	45.58	34.54	27.18	3.37	16.65	24
UD_Urdu-UDTB	93.66	81.92	97.40	87.50	81.62	75.20	55.02	73.07	4000
UD_Uyghur-UDT	89.87	88.30	95.31	78.46	67.09	60.85	47.84	57.08	1700
UD_Vietnamese-VTB	89.68	99.72	99.55	70.38	62.56	60.03	55.56	59.54	1400
